annotation_file,image_file,field_id,field_text,ocr_text,similarity_score
./funsd/training_data/annotations/0000971160.json,./funsd/training_data/images/0000971160.png,2,Suggestion:,Suggestion:,1.0
./funsd/training_data/annotations/0000971160.json,./funsd/training_data/images/0000971160.png,3,Date:,Date:,1.0
./funsd/training_data/annotations/0000971160.json,./funsd/training_data/images/0000971160.png,4,Licensee,Licensee,1.0
./funsd/training_data/annotations/0000971160.json,./funsd/training_data/images/0000971160.png,6,Yes,Yes,1.0
./funsd/training_data/annotations/0000971160.json,./funsd/training_data/images/0000971160.png,8,597005708,397005708,0.8888888888888888
./funsd/training_data/annotations/0000971160.json,./funsd/training_data/images/0000971160.png,9,R&D QUALITY IMPROVEMENT SUGGESTION/ SOLUTION FORM,"R&D QUALITY ITMFROVEMENT
SUGGESTION/SCLUTION FORM",0.9484536082474226
./funsd/training_data/annotations/0000971160.json,./funsd/training_data/images/0000971160.png,10,Name / Phone Ext. :,Name /Phone Ext.:,0.9696969696969697
./funsd/training_data/annotations/0000971160.json,./funsd/training_data/images/0000971160.png,11,"M. Hamann P. Harper, P. Martinez","M. Haparm, P. Harper, P, Martinez",0.8615384615384616
./funsd/training_data/annotations/0000971160.json,./funsd/training_data/images/0000971160.png,12,9/ 3/ 92,9/3/92,1.0
./funsd/training_data/annotations/0000971160.json,./funsd/training_data/images/0000971160.png,13,R&D Group:,R&D Group:,1.0
./funsd/training_data/annotations/0000971160.json,./funsd/training_data/images/0000971160.png,14,J. S. Wigand,J. 5. Wigand,0.9166666666666666
./funsd/training_data/annotations/0000971160.json,./funsd/training_data/images/0000971160.png,15,Supervisor / Manager,Supervisor/Manager,1.0
./funsd/training_data/annotations/0000971160.json,./funsd/training_data/images/0000971160.png,16,Discontinue coal retention analyses on licensee submitted product samples (Note : Coal Retention testing is not performed by most licensees. Other B&W physical measurements as ends stability and inspection for soft spots in ciparettes are thought to be sufficient measures to assure cigarette physical integrity. The proposed action will increase laboratory productivity . ),"Discentinue coal retsntion analyses on licenses submitted
product samples. (Rote: Coal Retention testing is not
performed by most licensees. Other B&W physical
measurements as ends stability and inspection for soft
spots in cigarettes are thought to be sufficient measures
to assure cigarette physical integrity. The proposed
action will inerease laboratory productivity.)",0.9785522788203753
./funsd/training_data/annotations/0000971160.json,./funsd/training_data/images/0000971160.png,17,Suggested Solutions (s) :,Suggested Solutiom(s):,0.8936170212765957
./funsd/training_data/annotations/0000971160.json,./funsd/training_data/images/0000971160.png,18,Delete coal retention from the list of standard analyses performed on licensee submitted product samples. Special requests for coal retention testing could still be submitted on an exception basis.,"Delete coal retention from the list of standard
analyses performed on licensee submitted
product samples. Special requests for coal
retention testing could still be submitted on
an exception basis.",1.0
./funsd/training_data/annotations/0000971160.json,./funsd/training_data/images/0000971160.png,19,Have you contacted your Manager/ Supervisor?,Have you contacted your Managet/Supervisor?,0.9767441860465116
./funsd/training_data/annotations/0000971160.json,./funsd/training_data/images/0000971160.png,20,Manager Comments:,Manager Comments,0.9696969696969697
./funsd/training_data/annotations/0000971160.json,./funsd/training_data/images/0000971160.png,21,"Manager, please contact suggester and forward","Manager, please contact suggester and forward",1.0
./funsd/training_data/annotations/0000971160.json,./funsd/training_data/images/0000971160.png,22,comments to the Quality Council.,"comments te the Quality Council,",0.9375
./funsd/training_data/annotations/0000971160.json,./funsd/training_data/images/0000971160.png,23,qip . wp,qip.wp,0.8571428571428572
./funsd/training_data/annotations/0000989556.json,./funsd/training_data/images/0000989556.png,0,Brand:,Brand:,1.0
./funsd/training_data/annotations/0000989556.json,./funsd/training_data/images/0000989556.png,1,Style:,Style:,1.0
./funsd/training_data/annotations/0000989556.json,./funsd/training_data/images/0000989556.png,2,PHOENIX,PHOENTX,0.8571428571428572
./funsd/training_data/annotations/0000989556.json,./funsd/training_data/images/0000989556.png,3,Company:,Company:,1.0
./funsd/training_data/annotations/0000989556.json,./funsd/training_data/images/0000989556.png,4,Country:,Country:,1.0
./funsd/training_data/annotations/0000989556.json,./funsd/training_data/images/0000989556.png,5,Macket:,Market:,0.8571428571428572
./funsd/training_data/annotations/0000989556.json,./funsd/training_data/images/0000989556.png,6,CYPRUS,CYPRUS,1.0
./funsd/training_data/annotations/0000989556.json,./funsd/training_data/images/0000989556.png,7,NICOSIA,HICOSIA,0.8571428571428572
./funsd/training_data/annotations/0000989556.json,./funsd/training_data/images/0000989556.png,8,Weights,Weights,1.0
./funsd/training_data/annotations/0000989556.json,./funsd/training_data/images/0000989556.png,9,Adhesive:,Adhesive:,1.0
./funsd/training_data/annotations/0000989556.json,./funsd/training_data/images/0000989556.png,10,Supplier(s),Supplieri{s),0.8695652173913043
./funsd/training_data/annotations/0000989556.json,./funsd/training_data/images/0000989556.png,11,Color,color,0.8
./funsd/training_data/annotations/0000989556.json,./funsd/training_data/images/0000989556.png,12,Porosity,Porosity,1.0
./funsd/training_data/annotations/0000989556.json,./funsd/training_data/images/0000989556.png,13,substance,Substance,0.8888888888888888
./funsd/training_data/annotations/0000989556.json,./funsd/training_data/images/0000989556.png,14,Ecusta,Ecusta,1.0
